Series,Ball,CoverSName,CoverSFinish,Weight,RG,DIFF,MBDIFF,Finish_Number,Length,Backend,Hook,eVL,sVA,HookPotential
Trident,Turbulent,Coercion HVH,3000 LSS,14,2.51,.054,.017,3000,53,73,73,33.33631317970031,73.38518429274123,72.89885139315581
Trident,Turbulent,Coercion HVH,3000 LSS,15,2.49,.054,.017,3000,53,73,73,29.787926082926198,76.93357138951532,73.59293762715767
Trident,Turbulent,Coercion HVH,3000 LSS,16,2.49,.051,.016,3000,53,73,73,30.456489383068444,75.21237651042571,70.5575779089425
Forza GT,Torx,Helix HR,4000 LSS,12,2.63,.030,,4000,60,73,63,66.15529506012562,35.18295488072916,48.96432687102624
Forza GT,Torx,Helix HR,4000 LSS,13,2.57,.038,,4000,60,73,63,54.80837938383812,49.33688810087631,57.77714738217742
Forza GT,Torx,Helix HR,4000 LSS,14,2.53,.047,,4000,60,73,63,46.922131506079204,60.38103071547734,63.885112215367876
Forza GT,Torx,Helix HR,4000 LSS,15,2.50,.051,,4000,60,73,63,41.24867366793549,67.45799732555086,67.31402628592106
Forza GT,Torx,Helix HR,4000 LSS,16,2.50,.046,,4000,60,73,63,41.68727015916356,65.26501486941052,64.96919320721258
Venom Cobra,Top Gear,Sabotage Hybrid,5500 LSP,12,2.63,.027,,9000,73,80,50,76.77985285795131,35.93944538766272,41.237362797439616
Venom Cobra,Top Gear,Sabotage Hybrid,5500 LSP,13,2.57,.024,,9000,73,80,50,66.39784946236557,45.2688172043011,44.35192136879725
Venom Cobra,Top Gear,Sabotage Hybrid,5500 LSP,14,2.50,.039,,9000,73,80,50,52.662705149971714,64.26711941143179,59.182023685152146
Venom Cobra,Top Gear,Sabotage Hybrid,5500 LSP,15,2.47,.035,,9000,73,80,50,47.691001697792906,67.83531409168077,58.867818920023566
Venom Cobra,Top Gear,Sabotage Hybrid,5500 LSP,16,2.47,.031,,9000,73,80,50,48.041878890775365,66.0809281267685,56.91093791571509
Paranoia,Oblivion,Agitator Pearl,5500 LSP,12,2.65,.028,,9000,73,83,53,80.24052065647989,32.82965478211659,40.9934919136681
Paranoia,Oblivion,Agitator Pearl,5500 LSP,13,2.60,.038,,9000,73,83,53,70.4923599320883,46.08658743633275,49.93367659998841
Paranoia,Oblivion,Agitator Pearl,5500 LSP,14,2.54,.048,,9000,73,83,53,58.97000565930958,61.11771363893604,59.211625771895335
Paranoia,Oblivion,Agitator Pearl,5500 LSP,15,2.53,.047,,9000,73,83,53,57.283531409168056,62.4533106960951,59.423605478907355
Paranoia,Oblivion,Agitator Pearl,5500 LSP,16,2.53,.040,,9000,73,83,53,57.89756649688735,59.383135257498616,59.78247735632858
Jackal LE,Predator V2,Coercion HVS,3000 LSS,14,2.51,.049,.014,3000,47,73,75,34.9911258871446,69.97598562038465,70.23813052495765
Jackal LE,Predator V2,Coercion HVS,3000 LSS,15,2.47,.054,.015,3000,47,73,75,27.050349796962813,79.67114767547872,75.1364338243687
Jackal LE,Predator V2,Coercion HVS,3000 LSS,16,2.48,.047,.013,3000,47,73,75,30.24938924387998,74.01596787768436,70.61934052930832
Jackal Carnage,Predator,Coercion XFS,3000 LSS,14,2.48,.060,.015,3000,47,73,68,28.298227555876185,80.52853307446009,76.79136556934898
Jackal Carnage,Predator,Coercion XFS,3000 LSS,15,2.46,.060,.015,3000,47,73,68,24.749840459101993,84.07692017123428,78.40340167024294
Jackal Carnage,Predator,Coercion XFS,3000 LSS,16,2.46,.060,.015,3000,47,73,68,24.749840459101993,84.07692017123428,78.40340167024294
Octane Burn,Quadfire,Helix SFP,5500 Laser Scan Polished,12,2.58,.050,,9000,70,78,53,65.89134125636674,54.89813242784379,56.95751759277588
Octane Burn,Quadfire,Helix SFP,5500 Laser Scan Polished,13,2.58,.047,,9000,70,78,53,66.15449915110358,53.58234295415957,55.24095352761168
Octane Burn,Quadfire,Helix SFP,5500 Laser Scan Polished,14,2.56,.043,,9000,70,78,53,62.956989247311846,55.37634408602149,54.17426326236534
Octane Burn,Quadfire,Helix SFP,5500 Laser Scan Polished,15,2.55,.043,,9000,70,78,53,61.1827956989247,57.15053763440863,55.0084546919351
Octane Burn,Quadfire,Helix SFP,5500 Laser Scan Polished,16,2.54,.040,,9000,70,78,53,59.67176004527449,57.60894170911148,58.96600790552473
Revolt Havoc,Vanquish,Helix HFS,3000 LSS,12,2.63,.030,,3000,47,77,65,63.62379081013213,34.67665403073046,49.24519332925842
Revolt Havoc,Vanquish,Helix HFS,3000 LSS,13,2.56,.044,,3000,47,77,65,49.97636579598388,53.2363597466331,60.15535886231599
Revolt Havoc,Vanquish,Helix HFS,3000 LSS,14,2.50,.056,,3000,47,77,65,38.27857292671392,69.14467893169251,69.7355970095933
Revolt Havoc,Vanquish,Helix HFS,3000 LSS,15,2.47,.056,,3000,47,77,65,32.95599228155267,74.46725957685378,71.40897316417617
Revolt Havoc,Vanquish,Helix HFS,3000 LSS,16,2.46,.057,,3000,47,77,65,31.094079434919912,76.68004961646898,72.64319323154483
Forza Redline,Torx,Helix Pearl,5000 LSP,12,2.63,.030,,9000,73,80,50,76.51669496321446,37.255234861346935,42.82505953299966
Forza Redline,Torx,Helix Pearl,5000 LSP,13,2.57,.038,,9000,73,80,50,65.16977928692697,51.40916808149408,52.345139148819726
Forza Redline,Torx,Helix Pearl,5000 LSP,14,2.53,.047,,9000,73,80,50,57.283531409168056,62.4533106960951,59.423605478907355
Forza Redline,Torx,Helix Pearl,5000 LSP,15,2.50,.051,,9000,73,80,50,51.610073571024344,69.53027730616864,63.4833575226977
Forza Redline,Torx,Helix Pearl,5000 LSP,16,2.50,.046,,9000,73,80,50,52.04867006225241,67.33729485002829,60.85770568904479
Primal Rage Remix,Impulse V2,Raw Fusion Hybrid,4000 LSS,12,2.67,.040,,4000,70,85,63,72.37487627121787,32.47214559946147,54.46405203366217
Primal Rage Remix,Impulse V2,Raw Fusion Hybrid,4000 LSS,13,2.60,.055,,4000,70,85,63,58.63973195882402,51.47044780659217,63.09027570354442
Primal Rage Remix,Impulse V2,Raw Fusion Hybrid,4000 LSS,14,2.56,.054,,4000,70,85,63,51.63067706352124,58.12862550891249,65.26128953415012
Primal Rage Remix,Impulse V2,Raw Fusion Hybrid,4000 LSS,15,2.55,.050,,4000,70,85,63,50.20736070811656,58.14843309238735,64.03698343383856
Primal Rage Remix,Impulse V2,Raw Fusion Hybrid,4000 LSS,16,2.54,.049,,4000,70,85,63,48.52088645797511,59.484030149546335,64.2789416560466
Rebel Tank,Halogen,DMX Pearl Urethane,4000 Laser Scan Sanded,14,2.56,.038,,4000,14.0,13.0,40.0,53.03418583545107,51.11108164926337,58.46807587366411
Rebel Tank,Halogen,DMX Pearl Urethane,4000 Laser Scan Sanded,15,2.55,.037,,4000,14.0,13.0,40.0,51.34771158530954,52.44667870642244,58.4164844111925
Rebel Tank,Halogen,DMX Pearl Urethane,4000 Laser Scan Sanded,16,2.54,.036,,4000,14.0,13.0,40.0,49.661237335168096,53.78227576358142,58.45062899013455
Ascent Apex - Pink / Green,Recon,Fusion XL,5000 Laser Scan Polished,12,2.62,.038,,9000,87,60,35,74.0407470288625,42.53820033955855,48.3835792223803
Ascent Apex - Pink / Green,Recon,Fusion XL,5000 Laser Scan Polished,13,2.62,.030,,9000,87,60,35,74.7425014148274,39.02942840973399,43.384844312251666
Ascent Apex - Pink / Green,Recon,Fusion XL,5000 Laser Scan Polished,14,2.61,.030,,9000,87,60,35,72.96830786644027,40.80362195812113,44.107282903329796
Ascent Apex - Pink / Green,Recon,Fusion XL,5000 Laser Scan Polished,15,2.59,.025,,9000,87,60,35,69.85851726089416,42.15902659875497,43.16120096513565
Ascent Apex - Pink / Green,Recon,Fusion XL,5000 Laser Scan Polished,16,2.59,.018,,9000,87,60,35,70.47255234861345,39.08885116015848,39.594351197189205
Ascent Apex - Blue,Recon,Fusion XL,5000 Laser Scan Polished,12,2.62,.038,,9000,87,60,35,74.0407470288625,42.53820033955855,48.3835792223803
Ascent Apex - Blue,Recon,Fusion XL,5000 Laser Scan Polished,13,2.62,.030,,9000,87,60,35,74.7425014148274,39.02942840973399,43.384844312251666
Ascent Apex - Blue,Recon,Fusion XL,5000 Laser Scan Polished,14,2.61,.025,,9000,87,60,35,73.40690435766834,38.61063950198077,41.361981695990416
Ascent Apex - Blue,Recon,Fusion XL,5000 Laser Scan Polished,15,2.59,.025,,9000,87,60,35,69.85851726089416,42.15902659875497,43.16120096513565
Ascent Apex - Blue,Recon,Fusion XL,5000 Laser Scan Polished,16,2.59,.018,,9000,87,60,35,70.47255234861345,39.08885116015848,39.594351197189205
Graffiti Tag,Halogen,Agility MXR Solid,5500 Laser Scan Polished,12,2.64,.031,,9000,77,74,48,78.203169213356,35.919637804187865,42.8935374210635
Graffiti Tag,Halogen,Agility MXR Solid,5500 Laser Scan Polished,13,2.59,.038,,9000,77,74,48,68.71816638370117,47.86078098471988,50.738892173707214
Graffiti Tag,Halogen,Agility MXR Solid,5500 Laser Scan Polished,14,2.56,.038,,9000,77,74,48,63.39558573853992,53.18336162988114,53.13800509348661
Graffiti Tag,Halogen,Agility MXR Solid,5500 Laser Scan Polished,15,2.55,.037,,9000,77,74,48,61.709111488398385,54.51895868704021,53.145262242909
Graffiti Tag,Halogen,Agility MXR Solid,5500 Laser Scan Polished,16,2.54,.036,,9000,77,74,48,60.02263723825695,55.85455574419919,53.24800959478452
Venom Panic,Gear,Turmoil MFP,5000 Laser Scan Polished,12,2.65,.013,,9000,67,83,55,81.55631013016409,26.250707413695544,34.421399798702566
Venom Panic,Gear,Turmoil MFP,5000 Laser Scan Polished,13,2.58,.023,,9000,67,83,55,68.25976230899832,43.05602716468589,43.0289114409005
Venom Panic,Gear,Turmoil MFP,5000 Laser Scan Polished,14,2.52,.029,,9000,67,83,55,57.08828522920204,56.3327674023769,50.9324393721914
Venom Panic,Gear,Turmoil MFP,5000 Laser Scan Polished,15,2.48,.034,,9000,67,83,55,49.55291454442558,65.62252405206564,57.55101127232389
Venom Panic,Gear,Turmoil MFP,5000 Laser Scan Polished,16,2.48,.031,,9000,67,83,55,49.816072439162426,64.30673457838144,56.11225328345515
Revolt Vengeance,Vanquish,Turmoil HFH Hybrid,5000 LSP,12,2.63,.030,,9000,67,86,58,76.51669496321446,37.255234861346935,42.82505953299966
Revolt Vengeance,Vanquish,Turmoil HFH Hybrid,5000 LSP,13,2.56,.044,,9000,67,86,58,62.869269949066236,55.81494057724956,54.96153428570222
Revolt Vengeance,Vanquish,Turmoil HFH Hybrid,5000 LSP,14,2.50,.056,,9000,67,86,58,51.171477079796276,71.72325976230898,65.96211495244205
Revolt Vengeance,Vanquish,Turmoil HFH Hybrid,5000 LSP,15,2.47,.056,,9000,67,86,58,45.848896434635016,77.04584040747025,67.98376814392522
Revolt Vengeance,Vanquish,Turmoil HFH Hybrid,5000 LSP,16,2.46,.057,,9000,67,86,58,43.98698358800226,79.25863044708547,69.38639568020606
Forza,Torx,Helix Solid,3000 LSS,12,2.63,.030,,3000,47,73,63,63.62379081013213,34.67665403073046,49.24519332925842
Forza,Torx,Helix Solid,3000 LSS,13,2.57,.038,,3000,47,73,63,52.27687513384463,48.83058725087761,58.02933652772211
Forza,Torx,Helix Solid,3000 LSS,14,2.53,.047,,3000,47,73,63,44.3906272560857,59.87472986547863,64.11124294450539
Forza,Torx,Helix Solid,3000 LSS,15,2.50,.051,,3000,47,73,63,38.71716941794199,66.95169647555215,67.56275080535623
Forza,Torx,Helix Solid,3000 LSS,16,2.50,.046,,3000,47,73,63,39.15576590917006,64.75871401941181,65.27495682276323
Jackal,Predator,Turmoil HFP,3000 LSS,14,2.48,.060,.015,3000,53,80,65,28.298227555876185,80.52853307446009,76.79136556934898
Jackal,Predator,Turmoil HFP,3000 LSS,15,2.46,.060,.015,3000,53,80,65,24.749840459101993,84.07692017123428,78.40340167024294
Jackal,Predator,Turmoil HFP,3000 LSS,16,2.46,.060,.015,3000,53,80,65,24.749840459101993,84.07692017123428,78.40340167024294
Tribal Fire,Halogen,Fusion Hybrid,5000 Laser Scan Polished,12,2.64,.31,,9000,67,86,53,53.72948500282968,158.28805885681945,170.77073069270318
Tribal Fire,Halogen,Fusion Hybrid,5000 Laser Scan Polished,13,2.59,.038,,9000,67,86,53,68.71816638370117,47.86078098471988,50.738892173707214
Tribal Fire,Halogen,Fusion Hybrid,5000 Laser Scan Polished,14,2.56,.038,,9000,67,86,53,63.39558573853992,53.18336162988114,53.13800509348661
Tribal Fire,Halogen,Fusion Hybrid,5000 Laser Scan Polished,15,2.55,.037,,9000,67,86,53,61.709111488398385,54.51895868704021,53.145262242909
Tribal Fire,Halogen,Fusion Hybrid,5000 Laser Scan Polished,16,2.54,.036,,9000,67,86,53,60.02263723825695,55.85455574419919,53.24800959478452
Octane,Quadfire,Agility SFX,5000 Laser Scan Polished,12,2.59,.050,,9000,73,86,55,67.6655348047538,53.12393887945673,56.23053546969661
Octane,Quadfire,Agility SFX,5000 Laser Scan Polished,13,2.58,.047,,9000,73,86,55,66.15449915110358,53.58234295415957,55.24095352761168
Octane,Quadfire,Agility SFX,5000 Laser Scan Polished,14,2.56,.043,,9000,73,86,55,62.956989247311846,55.37634408602149,54.17426326236534
Octane,Quadfire,Agility SFX,5000 Laser Scan Polished,15,2.55,.043,,9000,73,86,55,61.1827956989247,57.15053763440863,55.0084546919351
Octane,Quadfire,Agility SFX,5000 Laser Scan Polished,16,2.54,.040,,9000,73,86,55,59.67176004527449,57.60894170911148,58.96600790552473
Covert Revolt,Vanquish,Turmoil HFS,4000 Laser Scan Sanded,12,2.63,.030,,4000,60,87,63,66.15529506012562,35.18295488072916,48.96432687102624
Covert Revolt,Vanquish,Turmoil HFS,4000 Laser Scan Sanded,13,2.56,.044,,4000,60,87,63,52.507870045977384,53.742660596631794,59.95457912388398
Covert Revolt,Vanquish,Turmoil HFS,4000 Laser Scan Sanded,14,2.50,.056,,4000,60,87,63,40.81007717670742,69.65097978169122,69.54123725474037
Covert Revolt,Vanquish,Turmoil HFS,4000 Laser Scan Sanded,15,2.47,.056,,4000,60,87,63,35.487496531546164,74.97356042685247,71.1447057394083
Covert Revolt,Vanquish,Turmoil HFS,4000 Laser Scan Sanded,16,2.46,.057,,4000,60,87,63,33.625583684913416,77.18635046646769,72.36659634570758
Sigma Sting,Sigma,Fusion Pearl,5000 Laser Scan Polished,12,2.63,.024,,9000,15,17.5,53,77.04301075268815,34.62365591397851,39.68986612724782
Sigma Sting,Sigma,Fusion Pearl,5000 Laser Scan Polished,13,2.57,.032,,9000,15,17.5,53,65.69609507640065,48.77758913412566,48.58496589226594
Sigma Sting,Sigma,Fusion Pearl,5000 Laser Scan Polished,14,2.51,.040,,9000,15,17.5,53,54.34917940011316,62.931522354272815,61.42931666473715
Sigma Sting,Sigma,Fusion Pearl,5000 Laser Scan Polished,15,2.47,.047,,9000,15,17.5,53,46.63837011884554,73.09847198641762,63.68203386188943
Sigma Sting,Sigma,Fusion Pearl,5000 Laser Scan Polished,16,2.46,.044,,9000,15,17.5,53,45.12733446519525,73.55687606112055,62.86638575735868
Cruel Intent,Sinister,Fusion Pearl,5000 Gri Laser Scan Polished,14,2.57,.053,.019,9000,67,77,63,56.15128711054006,65.69081815261784,64.46017314901992
Cruel Intent,Sinister,Fusion Pearl,5000 Gri Laser Scan Polished,15,2.55,.053,.018,9000,67,77,63,53.008305419171265,68.83379984398663,65.92756984048061
Cruel Intent,Sinister,Fusion Pearl,5000 Gri Laser Scan Polished,16,2.55,.050,.018,9000,67,77,63,53.27146331390811,67.51801037030242,64.22977032860868
Primal Rage,Impulse V2,Fusion Pearl,5000 Laser Scan Polished,12,2.67,.040,,9000,70,87,53,82.73627617430672,34.54442558007924,48.92232873913246
Primal Rage,Impulse V2,Fusion Pearl,5000 Laser Scan Polished,13,2.60,.055,,9000,70,87,53,69.00113186191287,53.54272778720994,58.3627448818044
Primal Rage,Impulse V2,Fusion Pearl,5000 Laser Scan Polished,14,2.56,.054,,9000,70,87,53,61.99207696661009,60.200905489530264,60.82029561880446
Primal Rage,Impulse V2,Fusion Pearl,5000 Laser Scan Polished,15,2.55,.050,,9000,70,87,53,60.568760611205406,60.22071307300513,59.4973584866109
Primal Rage,Impulse V2,Fusion Pearl,5000 Laser Scan Polished,16,2.54,.049,,9000,70,87,53,58.88228636106396,61.55631013016411,59.80383961858319
Trident Nemesis,Sidewinder™ Asymmetric,Infusion HV Pearl,5500 LSP,12,2.63,.036,.010,9000,80,86,65,71.93632511968673,43.9408678627694,49.01082284539797
Trident Nemesis,Sidewinder™ Asymmetric,Infusion HV Pearl,5500 LSP,13,2.56,.051,.015,9000,80,86,65,56.174153780265854,64.96619709692713,63.69700016465616
Trident Nemesis,Sidewinder™ Asymmetric,Infusion HV Pearl,5500 LSP,14,2.52,.049,.013,9000,80,86,65,50.06362899401949,70.37496749720859,64.976727217982
Trident Nemesis,Sidewinder™ Asymmetric,Infusion HV Pearl,5500 LSP,15,2.52,.049,.013,9000,80,86,65,50.06362899401949,70.37496749720859,64.976727217982
Trident Nemesis,Sidewinder™ Asymmetric,Infusion HV Pearl,5500 LSP,16,2.52,.049,.013,9000,80,86,65,50.06362899401949,70.37496749720859,64.976727217982
Desert Tank,Flux™ Symmetric,Frixion+ Pearl Microcell Polymer,2000 LSS,14,2.57,.018,,2000,47,53,40,51.188617551418886,39.4901287168486,47.56645405721032
Desert Tank,Flux™ Symmetric,Frixion+ Pearl Microcell Polymer,2000 LSS,15,2.57,.015,,2000,47,53,40,51.451775446155736,38.17433924316439,46.11165922433108
Desert Tank,Flux™ Symmetric,Frixion+ Pearl Microcell Polymer,2000 LSS,16,2.57,.013,,2000,47,53,40,51.62721404264696,37.29714626070825,45.13581727707353
Venom Toxin,Gear,Atomix Hybrid Radial,5500 Laser Scan Polished,12,2.65,.016,,9000,62,72,43,81.29315223542726,27.566496887379753,35.674189109526615
Venom Toxin,Gear,Atomix Hybrid Radial,5500 Laser Scan Polished,13,2.58,.023,,9000,62,72,43,68.25976230899832,43.05602716468589,43.0289114409005
Venom Toxin,Gear,Atomix Hybrid Radial,5500 Laser Scan Polished,14,2.52,.029,,9000,62,72,43,57.08828522920204,56.3327674023769,50.9324393721914
Venom Toxin,Gear,Atomix Hybrid Radial,5500 Laser Scan Polished,15,2.48,.034,,9000,62,72,43,49.55291454442558,65.62252405206564,57.55101127232389
Venom Toxin,Gear,Atomix Hybrid Radial,5500 Laser Scan Polished,16,2.48,.031,,9000,62,72,43,49.816072439162426,64.30673457838144,56.11225328345515
Thrash Frenzy,Quadfire,Whiplash Pearl,5500 Laser Scan Polished,12,2.59,.050,,9000,67,83,48,67.6655348047538,53.12393887945673,56.23053546969661
Thrash Frenzy,Quadfire,Whiplash Pearl,5500 Laser Scan Polished,13,2.58,.047,,9000,67,83,48,66.15449915110358,53.58234295415957,55.24095352761168
Thrash Frenzy,Quadfire,Whiplash Pearl,5500 Laser Scan Polished,14,2.56,.043,,9000,67,83,48,62.956989247311846,55.37634408602149,54.17426326236534
Thrash Frenzy,Quadfire,Whiplash Pearl,5500 Laser Scan Polished,15,2.55,.043,,9000,67,83,48,61.1827956989247,57.15053763440863,55.0084546919351
Thrash Frenzy,Quadfire,Whiplash Pearl,5500 Laser Scan Polished,16,2.54,.040,,9000,67,83,48,59.67176004527449,57.60894170911148,58.96600790552473
Raptor Talon,Predator,Fusion Solid,3000 Laser Scan Sanded,12,2.59,.037,.009,3000,33,60,68,52.26433288021578,48.49225231152399,58.34356100746616
Raptor Talon,Predator,Fusion Solid,3000 Laser Scan Sanded,13,2.52,.051,.013,3000,33,60,68,36.99528624444592,68.67357964904824,70.4199523939279
Raptor Talon,Predator,Fusion Solid,3000 Laser Scan Sanded,14,2.48,.060,.015,3000,33,60,68,28.298227555876185,80.52853307446009,76.79136556934898
Raptor Talon,Predator,Fusion Solid,3000 Laser Scan Sanded,15,2.46,.060,.015,3000,33,60,68,24.749840459101993,84.07692017123428,78.40340167024294
Raptor Talon,Predator,Fusion Solid,3000 Laser Scan Sanded,16,2.46,.060,.015,3000,33,60,68,24.749840459101993,84.07692017123428,78.40340167024294
Venom Strike,Gear,Atomix Arc Solid,3000 LSS,12,2.65,.016,,3000,47,77,58,68.40024808234492,24.987916056763282,42.44808777010307
Venom Strike,Gear,Atomix Arc Solid,3000 LSS,13,2.58,.023,,3000,47,77,58,55.36685815591596,40.47744633406941,49.51298089921288
Venom Strike,Gear,Atomix Arc Solid,3000 LSS,14,2.52,.029,,3000,47,77,58,44.195381076119695,53.75418657176043,56.628369230072444
Venom Strike,Gear,Atomix Arc Solid,3000 LSS,15,2.48,.034,,3000,47,77,58,36.66001039134323,63.043943221449176,62.52512850727009
Venom Strike,Gear,Atomix Arc Solid,3000 LSS,16,2.48,.031,,3000,47,77,58,36.92316828608007,61.728153747764964,61.24963757853731
Primal Scream,Impulse V2,Whiplash Solid,5000 Laser Scan Polished,12,2.67,.040,,9000,60,80,55,82.73627617430672,34.54442558007924,48.92232873913246
Primal Scream,Impulse V2,Whiplash Solid,5000 Laser Scan Polished,13,2.60,.055,,9000,60,80,55,69.00113186191287,53.54272778720994,58.3627448818044
Primal Scream,Impulse V2,Whiplash Solid,5000 Laser Scan Polished,14,2.56,.054,,9000,60,80,55,61.99207696661009,60.200905489530264,60.82029561880446
Primal Scream,Impulse V2,Whiplash Solid,5000 Laser Scan Polished,15,2.55,.050,,9000,60,80,55,60.568760611205406,60.22071307300513,59.4973584866109
Primal Scream,Impulse V2,Whiplash Solid,5000 Laser Scan Polished,16,2.54,.049,,9000,60,80,55,58.88228636106396,61.55631013016411,59.80383961858319
Cruel C51 LE,Cruel,Formula-5 Hybrid,5500 Laser Scan Polished,14,2.50,.060,.030,9000,50,73,50,38.658437724651655,85.63980788938343,76.04064938371728
Cruel C51 LE,Cruel,Formula-5 Hybrid,5500 Laser Scan Polished,15,2.48,.060,.030,9000,50,73,50,35.110050627877456,89.18819498615764,77.07633895527533
Cruel C51 LE,Cruel,Formula-5 Hybrid,5500 Laser Scan Polished,16,2.46,.060,.030,9000,50,73,50,31.561663531103264,92.73658208293183,78.9167191397231
Raptor Attack,Predator,Atomix SFP,5500 Laser Scan Polished,12,2.59,.037,.009,9000,67,80,50,65.15723703329814,51.07083314214046,52.45466267546159
Raptor Attack,Predator,Atomix SFP,5500 Laser Scan Polished,13,2.52,.051,.013,9000,67,80,50,49.88819039752826,71.25216047966472,66.11143856503483
Raptor Attack,Predator,Atomix SFP,5500 Laser Scan Polished,14,2.48,.060,.015,9000,67,80,50,41.19113170895854,83.10711390507655,73.4575692269285
Raptor Attack,Predator,Atomix SFP,5500 Laser Scan Polished,15,2.46,.060,.015,9000,67,80,50,37.64274461218434,86.65550100185075,75.29794941137625
Raptor Attack,Predator,Atomix SFP,5500 Laser Scan Polished,16,2.46,.060,.015,9000,67,80,50,37.64274461218434,86.65550100185075,75.29794941137625
Thrash,Quadfire,Z-max Solid,3000 Laser Scan Sanded,12,2.59,.050,,3000,50,60,45,54.77263065167145,50.54535804884026,61.239406378139115
Thrash,Quadfire,Z-max Solid,3000 Laser Scan Sanded,13,2.58,.047,,3000,50,60,45,53.26159499802123,51.0037621235431,60.38780396476835
Thrash,Quadfire,Z-max Solid,3000 Laser Scan Sanded,14,2.56,.043,,3000,50,60,45,50.06408509422949,52.79776325540502,59.43723036217806
Thrash,Quadfire,Z-max Solid,3000 Laser Scan Sanded,15,2.55,.043,,3000,50,60,45,48.28989154584235,54.571956803792155,60.17837914703221
Thrash,Quadfire,Z-max Solid,3000 Laser Scan Sanded,16,2.51,.040,,3000,50,60,45,41.4562752470308,60.35294152365635,66.37432344580101
Tribal,Halogen,Fusion Pearl,5500 Laser Scan Polished,12,2.64,.031,,9000,77,83,48,78.203169213356,35.919637804187865,42.8935374210635
Tribal,Halogen,Fusion Pearl,5500 Laser Scan Polished,13,2.59,.038,,9000,77,83,48,68.71816638370117,47.86078098471988,50.738892173707214
Tribal,Halogen,Fusion Pearl,5500 Laser Scan Polished,14,2.56,.038,,9000,77,83,48,63.39558573853992,53.18336162988114,53.13800509348661
Tribal,Halogen,Fusion Pearl,5500 Laser Scan Polished,15,2.55,.037,,9000,77,83,48,61.709111488398385,54.51895868704021,53.145262242909
Tribal,Halogen,Fusion Pearl,5500 Laser Scan Polished,16,2.54,.036,,9000,77,83,48,60.02263723825695,55.85455574419919,53.24800959478452
Sigma Hybrid,Sigma,Atomix Hybrid,3000 Laser Scan Sanded,12,2.63,.024,,3000,40,73,58,64.1501065996058,32.045075083362036,46.34703172908105
Sigma Hybrid,Sigma,Atomix Hybrid,3000 Laser Scan Sanded,13,2.57,.032,,3000,40,73,58,52.803190923318304,46.199008303509196,54.62625589283123
Sigma Hybrid,Sigma,Atomix Hybrid,3000 Laser Scan Sanded,14,2.51,.040,,3000,40,73,58,41.4562752470308,60.35294152365635,66.37432344580101
Sigma Hybrid,Sigma,Atomix Hybrid,3000 Laser Scan Sanded,15,2.47,.047,,3000,40,73,58,33.745465965763195,70.51989115580115,67.68206280126647
Sigma Hybrid,Sigma,Atomix Hybrid,3000 Laser Scan Sanded,16,2.46,.044,,3000,40,73,58,32.2344303121129,70.97829523050407,66.96077788370881
Raptor P7,Predator,Formula-7,5000 Laser Scan Polished,12,2.59,.037,.009,9000,60,77,60,65.15723703329814,51.07083314214046,52.45466267546159
Raptor P7,Predator,Formula-7,5000 Laser Scan Polished,13,2.52,.051,.013,9000,60,77,60,49.88819039752826,71.25216047966472,66.11143856503483
Raptor P7,Predator,Formula-7,5000 Laser Scan Polished,14,2.48,.060,.015,9000,60,77,60,41.19113170895854,83.10711390507655,73.4575692269285
Raptor P7,Predator,Formula-7,5000 Laser Scan Polished,15,2.46,.060,.015,9000,60,77,60,37.64274461218434,86.65550100185075,75.29794941137625
Raptor P7,Predator,Formula-7,5000 Laser Scan Polished,16,2.46,.060,.015,9000,60,77,60,37.64274461218434,86.65550100185075,75.29794941137625
Sniper,Hollow Point,DMX Polyster,5500 Laser Scan Polished,12,2.75,.003,,9000,N/A,N/A,N/A,100.17543859649123,4.12280701754386,24.07874919087725
Sniper,Hollow Point,DMX Polyster,5500 Laser Scan Polished,13,2.73,.006,,9000,N/A,N/A,N/A,96.36389360498019,8.986983588002266,26.209956575293823
Sniper,Hollow Point,DMX Polyster,5500 Laser Scan Polished,14,2.69,.014,,9000,N/A,N/A,N/A,88.56536502546689,19.59252971137522,31.873010655727537
Sniper,Hollow Point,DMX Polyster,5500 Laser Scan Polished,15,2.68,.010,,9000,N/A,N/A,N/A,87.1420486700623,19.612337294849997,31.256555210213257
Sniper,Hollow Point,DMX Polyster,5500 Laser Scan Polished,16,2.67,.010,,9000,N/A,N/A,N/A,85.36785512167515,21.386530843237132,32.25008441284226
Cruel C51,Cruel,Formula-5 Hybrid,3000 Laser Scan Sanded,14,2.50,.060,.030,3000,47,70,53,25.765533571569303,83.06122705876696,79.60746599211774
Cruel C51,Cruel,Formula-5 Hybrid,3000 Laser Scan Sanded,15,2.46,.060,.030,3000,47,70,53,18.668759378020912,90.15800125231536,82.02217139858979
Cruel C51,Cruel,Formula-5 Hybrid,3000 Laser Scan Sanded,16,2.46,.060,.030,3000,47,70,53,18.668759378020912,90.15800125231536,82.02217139858979
Sigma Tour,Sigma,Atomix,3000 Laser Scan Sanded,12,2.63,.024,,3000,53,67,53,64.1501065996058,32.045075083362036,46.34703172908105
Sigma Tour,Sigma,Atomix,3000 Laser Scan Sanded,13,2.57,.032,,3000,53,67,53,52.803190923318304,46.199008303509196,54.62625589283123
Sigma Tour,Sigma,Atomix,3000 Laser Scan Sanded,14,2.51,.040,,3000,53,67,53,41.4562752470308,60.35294152365635,66.37432344580101
